hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3),PV
0,21.365769474353915,88.55544137914012,0.0,364.8,2.87,0.0
1,21.365769474353915,87.516058377713,0.022940799835950765,364.8,2.87,0.0
2,21.364281372334908,87.59306094197416,0.05219822162728836,364.8,2.87,0.0
3,21.364281372334908,91.27068911324577,0.04972177836547987,364.8,2.87,0.0
4,21.364281372334908,97.44356874578257,0.03805667152732027,364.8,2.87,0.0
5,21.3627932703159,104.7096559248604,0.024953511012247142,364.8,2.87,0.0
6,29.30516477649514,131.41964896379682,0.524340913407588,364.8,2.87,8.812766888292277e-07
7,40.52103504559227,679.9611494826046,0.5731087136401379,864.5,2.87,8.812766888292277e-07
8,126.31991631714219,421.9983185583897,49.47524218499741,864.5,2.87,0.0041184782098287
9,128.7133527435347,120.87650499176843,46.6355459232748,864.5,2.87,0.1871808955127988
10,174.58515635433636,75.47243236385783,33.59751644494182,1390.2,2.87,0.3748226563909793
11,151.70156835974242,59.511927934809556,14.423759715495978,1390.2,2.87,0.5488495340535884
12,138.50075412894833,39.77252330289319,10.407164673032524,1390.2,2.87,0.6482778298508488
13,156.65930705885674,35.99640837297426,9.991490875154772,1390.2,2.87,0.6620626129213237
14,128.15924254420287,35.59573551631983,10.975306690258542,1390.2,2.87,0.6222707497296601
15,128.1044424006383,40.991371383712575,10.46106060224905,864.5,2.87,0.5002011253764108
16,133.99002983258444,51.15893268011673,7.828932462811188,864.5,2.87,0.3703841947970925
17,151.60632207807706,280.1261305408417,6.327057042273688,864.5,2.87,0.2528615228811268
18,150.75917985604858,351.95674509270094,6.823613916458306,1390.2,2.87,0.0030868587552753
19,195.50796735913946,313.6722089378139,7.208505324177793,1390.2,2.87,8.812766888292277e-07
20,210.5135971905988,290.28303911489473,6.935645605689492,1390.2,2.87,8.812766888292277e-07
21,162.02291329094302,254.39570570072684,0.24504768347886802,864.5,2.87,0.0
22,154.62006403432602,461.0841314405357,0.0,864.5,2.87,0.0
23,86.92352854723981,138.19668311482835,0.0,364.8,2.87,0.0
24,21.365769474353915,149.40857644545096,0.0,364.8,2.87,0.0
25,21.365769474353915,156.26740869290052,0.0,364.8,2.87,0.0
26,21.364281372334908,163.78262971883464,0.0,364.8,2.87,0.0
27,21.364281372334908,171.58851886809808,0.0,364.8,2.87,0.0
28,21.364281372334908,178.72499566724332,0.0,364.8,2.87,0.0
29,21.3627932703159,184.8792483759767,0.0,364.8,2.87,0.0
30,29.30516477649514,214.97933850292458,0.38911109883649336,364.8,2.87,8.812766888292277e-07
31,40.52103504559227,993.646516209992,0.25398681924292044,864.5,2.87,8.812766888292277e-07
32,126.31991631714219,658.8194416144266,11.817732094873268,864.5,2.87,0.0031183537489725
33,128.7133527435347,216.7491053300076,18.60404947924816,864.5,2.87,0.1848227727606476
34,174.58515635433636,171.23175465488245,19.291111083589243,1390.2,2.87,0.3734385760669911
35,151.70156835974242,141.69091342723812,16.988528702474714,1390.2,2.87,0.5536262288420897
36,138.50075412894833,79.37836665809073,11.165431916952489,1390.2,2.87,0.6521070096779937
37,156.65930705885674,57.15186022526754,8.023962145562699,1390.2,2.87,0.6914100054905613
38,128.15924254420287,42.61258436554761,9.741393454984312,1390.2,2.87,0.6658776127927847
39,128.1044424006383,35.12733878888533,11.001823184302923,864.5,2.87,0.55953972009342
40,133.99002983258444,32.90787077383521,9.715464707093528,864.5,2.87,0.3927605958031234
41,151.60632207807706,274.29346437666334,10.595561985662293,864.5,2.87,0.28261800708345
42,150.72839225901186,309.9623367901539,9.573877895663092,1390.2,2.87,0.0025894861735203
43,195.47717976210598,269.1580231326435,9.737563849924154,1390.2,2.87,8.812766888292277e-07
44,210.48280959356538,262.79361202672,8.530532261314043,1390.2,2.87,8.812766888292277e-07
45,162.02291329094302,230.58984812347646,0.3248251015495985,864.5,2.87,0.0
46,154.62006403432602,452.953938598801,0.0,864.5,2.87,0.0
47,86.92352854723981,144.0418076250202,0.0,364.8,2.87,0.0
48,21.365769474353915,142.31147854819278,0.0,364.8,2.87,0.0
49,21.365769474353915,139.05900838184058,0.0,364.8,2.87,0.0
50,21.364281372334908,137.98029246872932,0.0,364.8,2.87,0.0
51,21.364281372334908,138.44412416502902,0.0,364.8,2.87,0.0
52,21.364281372334908,139.0634043535657,0.0,364.8,2.87,0.0
53,21.3627932703159,139.3601624220428,0.0,364.8,2.87,0.0
54,29.30516477649514,158.50907396563045,0.4702691195702554,364.8,2.87,8.812766888292277e-07
55,40.52103504559227,759.3394139465614,0.4697580457190925,864.5,2.87,8.812766888292277e-07
