source,target,weight,cost
elecinput,elec,605582.3395715164,0.08705569460232222
PV,elec,553212.2034009156,0.050853884541096774
gas,Gas_Boiler,2408644.6291372795,0.028700000000000017
Gas_Boiler,heat,2288212.3976804214,0.032903196735561996
gas,CHP,0.0,0.028700000000000017
elec,Electric_Boiler,48233.70568995922,0.06977283524426912
Electric_Boiler,heat,43410.335120963224,0.09076931446015371
elec,CERG,203930.52005667155,0.06977283524426912
CERG,cold,1019652.6002833495,0.014955246479012958
elec,Ground_Heat_Pump_heat,2190.9313908903373,0.06977283524426912
Ground_Heat_Pump_heat,heat,8763.72556356135,0.1854544836843647
elec,Ground_Heat_Pump_cold,28439.38583492079,0.06977283524426912
Ground_Heat_Pump_cold,cold,227515.08667936633,0.00872160440553364
elec,Elec_Storage,0.0,0.06977283524426912
Elec_Storage,elec,0.0,0.06977283524426912
heat,Heat_Storage,5588.086975571762,0.03348523047969134
Heat_Storage,heat,4300.2293615999415,0.03348523047969134
cold,Cold_Storage,480717.383025703,0.01381807171775073
Cold_Storage,cold,359754.75466940604,0.01381807171775073
heat,Seasonal_Heat_Storage,263067.7837934036,0.03348523047969134
Seasonal_Heat_Storage,heat,197178.50586276987,0.03348523047969134
elec,elec_load,876000.0000000042,0.06977283524426912
heat,heat_load,2331985.289471858,0.03348523047969134
cold,cold_load,935599.3469163319,0.01381807171775073
