source,target,weight,cost
elecinput,elec,521531.73509898136,0.0792590165292935
PV,elec,573425.3684108261,0.051033562153175685
gas,Gas_Boiler,4283491.968879719,0.02870000000000006
Gas_Boiler,heat,4069317.3704357203,0.032569305700310705
gas,CHP,16.614573708365803,0.02870000000000006
CHP,elec,3.6552062158404586,0.17635962361030588
CHP,heat,11.63020159585523,0.0554273102775284
elec,Electric_Boiler,47703.73637646029,0.064477872788983
Electric_Boiler,heat,42933.362738814,0.08445706052900116
elec,CERG,137600.56085241883,0.064477872788983
CERG,cold,688002.8042620869,0.014001260722210798
elec,Ground_Heat_Pump_heat,3726.5038291148226,0.064477872788983
Ground_Heat_Pump_heat,heat,14906.01531645929,0.10351650453307343
elec,Ground_Heat_Pump_cold,22751.610125536117,0.064477872788983
Ground_Heat_Pump_cold,cold,182012.88100428894,0.008059734098622874
elec,Elec_Storage,70539.27298826206,0.064477872788983
Elec_Storage,elec,63360.925455760414,0.064477872788983
heat,Heat_Storage,3897.022293105609,0.032828383101212645
Heat_Storage,heat,3009.9512414204296,0.032828383101212645
cold,Cold_Storage,295123.42378924036,0.012758255111350097
Cold_Storage,cold,221509.86660841518,0.012758255111350097
heat,Seasonal_Heat_Storage,216738.73425311147,0.032828383101212645
Seasonal_Heat_Storage,heat,162401.0164514399,0.032828383101212645
elec,elec_load,876000.0000000042,0.064477872788983
heat,heat_load,4114307.0645176205,0.032828383101212645
cold,cold_load,645180.6231214599,0.012758255111350097
