source,target,weight
gas,CHP,0.0
CHP,elec,0.0
CHP,heat,0.0
elec,Electric_Boiler,16227.775930993064
Electric_Boiler,heat,16227.775930993064
elec,CERG,224503.49167819336
CERG,cold,224503.49167819336
heat,WARP,5647.995716412984
WARP,cold,5647.995716412984
gas,Gas_Boiler,1467215.7668789735
Gas_Boiler,heat,1467215.7668789735
elec,Heat_Pump,397596.79979009007
Heat_Pump,heat,397596.79979009007
Elec_Storage,elec,0.0
elec,Elec_Storage,0.0
Heat_Storage,heat,367374.22521393944
heat,Heat_Storage,280432.9777545425
Cold_Storage,cold,779938.4316400902
cold,Cold_Storage,588501.9235923262
Seasonal_Heat_Storage,heat,70391.48765558531
heat,Seasonal_Heat_Storage,52754.36397612059
PV,elec,619110.4695584984
PV,heat,0.0
buy_elec,elec,895217.5978407651
buy_gas,gas,1467215.7668789735
elec,elec_load,876000.0000000042
heat,heat_load,2331985.289471858
cold,cold_load,935599.3469163319
