source,target,weight,cost
elecinput,elec,873173.4157732872,0.07515141468965868
PV,elec,550845.497877149,0.05504415435306728
gas,Gas_Boiler,39135.76272217599,0.02869999999999999
Gas_Boiler,heat,37178.974586066994,0.0642933927596043
gas,CHP,0.0,0.02869999999999999
elec,Electric_Boiler,7510.23274423788,0.06737343244175292
Electric_Boiler,heat,6759.209469814101,0.10681987334094994
elec,CERG,533978.6803343671,0.06737343244175292
CERG,cold,2669893.401671798,0.013905759772635161
elec,Ground_Heat_Pump_heat,791.2847488495745,0.06737343244175292
Ground_Heat_Pump_heat,heat,3165.138995398298,0.04621080509493756
elec,Ground_Heat_Pump_cold,5738.715822990339,0.06737343244175292
Ground_Heat_Pump_cold,cold,45909.72658392271,0.008421679055219115
elec,Elec_Storage,0.0,0.06737343244175292
Elec_Storage,elec,0.0,0.06737343244175292
heat,Heat_Storage,1966.115661963136,0.0628747495357403
Heat_Storage,heat,1512.267014053671,0.0628747495357403
cold,Cold_Storage,1564713.7511982645,0.013813053256584258
Cold_Storage,cold,1145967.2554024686,0.013813053256584258
heat,Seasonal_Heat_Storage,54537.58887763967,0.0628747495357403
Seasonal_Heat_Storage,heat,40885.23494799712,0.0628747495357403
elec,elec_load,875999.9999999736,0.06737343244175292
heat,heat_load,43760.32793264345,0.0628747495357403
cold,cold_load,2258545.2517584665,0.013813053256584258
