source,target,weight
gas,CHP,0.0
CHP,elec,0.0
CHP,heat,0.0
elec,Electric_Boiler,3230.961895023715
Electric_Boiler,heat,3230.961895023715
elec,CERG,545395.5825046741
CERG,cold,545395.5825046741
heat,WARP,0.0
WARP,cold,0.0
gas,Gas_Boiler,35482.2275473306
Gas_Boiler,heat,35482.2275473306
elec,Heat_Pump,3682.970612927022
Heat_Pump,heat,3682.970612927022
Elec_Storage,elec,0.0
elec,Elec_Storage,0.0
Heat_Storage,heat,8687.618785542134
heat,Heat_Storage,6256.241249104426
Cold_Storage,cold,1796939.3610776963
cold,Cold_Storage,1328506.7003128773
Seasonal_Heat_Storage,heat,7.090354585665298e-08
heat,Seasonal_Heat_Storage,2.7694734034839993e-08
PV,elec,555525.0698183633
PV,heat,0.0
buy_elec,elec,872784.4451942478
buy_gas,gas,35482.2275473306
elec,elec_load,875999.9999999736
heat,heat_load,43760.32793264345
cold,cold_load,2258545.2517584665
