source,target,weight,cost
elecinput,elec,750217.4707571113,0.08291171900772089
PV,elec,525660.4460347547,0.05768138888623415
gas,Gas_Boiler,821878.3196163143,0.028700000000000045
Gas_Boiler,heat,780784.4036354984,0.03690180341404149
gas,CHP,0.0,0.028700000000000045
elec,Electric_Boiler,26988.43891346099,0.07251684782865624
Electric_Boiler,heat,24289.595022114976,0.09655025790360482
elec,CERG,370521.67910816986,0.07251684782865624
CERG,cold,1852608.395540833,0.01513706278500579
elec,Ground_Heat_Pump_heat,763.0761311410889,0.07251684782865624
Ground_Heat_Pump_heat,heat,3052.3045245643557,0.0390031525602686
elec,Ground_Heat_Pump_cold,1604.7226391143543,0.07251684782865624
Ground_Heat_Pump_cold,cold,12837.781112914834,0.00906460597858203
elec,Elec_Storage,0.0,0.07251684782865624
Elec_Storage,elec,0.0,0.07251684782865624
heat,Heat_Storage,3074.6963720872254,0.036909986186601074
Heat_Storage,heat,2357.4024518931105,0.036909986186601074
cold,Cold_Storage,957885.2263708379,0.01509527285170504
Cold_Storage,cold,710161.3743809105,0.01509527285170504
heat,Seasonal_Heat_Storage,22086.555223635685,0.036909986186601074
Seasonal_Heat_Storage,heat,16554.49289330724,0.036909986186601074
elec,elec_load,875999.999999965,0.07251684782865624
heat,heat_load,799764.9577903793,0.036909986186601074
cold,cold_load,1603457.0601639478,0.01509527285170504
