source,target,weight
gas,CHP,0.0
CHP,elec,0.0
CHP,heat,0.0
elec,Electric_Boiler,12706.442365250581
Electric_Boiler,heat,12706.442365250581
elec,CERG,378539.2667921113
CERG,cold,378539.2667921113
heat,WARP,0.0
WARP,cold,0.0
gas,Gas_Boiler,535814.14970807
Gas_Boiler,heat,535814.14970807
elec,Heat_Pump,125833.4052870573
Heat_Pump,heat,125833.4052870573
Elec_Storage,elec,0.0
elec,Elec_Storage,0.0
Heat_Storage,heat,192213.54639290075
heat,Heat_Storage,144352.4100855336
Cold_Storage,cold,1125683.8391349963
cold,Cold_Storage,836444.5653384032
Seasonal_Heat_Storage,heat,0.0
heat,Seasonal_Heat_Storage,0.0
PV,elec,539153.3076473648
PV,heat,0.0
buy_elec,elec,853925.8067970446
buy_gas,gas,535814.14970807
elec,elec_load,875999.999999965
heat,heat_load,799764.9577903793
cold,cold_load,1603457.0601639478
