source,target,weight
gas,CHP,0.0
CHP,elec,0.0
CHP,heat,0.0
elec,Electric_Boiler,390.26373770152526
Electric_Boiler,heat,390.26373770152526
elec,CERG,147555.2800116226
CERG,cold,147555.2800116226
heat,WARP,47622.9863727319
WARP,cold,47622.9863727319
gas,Gas_Boiler,2954062.0537983226
Gas_Boiler,heat,2954062.0537983226
elec,Heat_Pump,577162.3177228706
Heat_Pump,heat,577162.3177228706
Elec_Storage,elec,8401.01792433257
elec,Elec_Storage,7545.854431061893
Heat_Storage,heat,427346.57398965984
heat,Heat_Storage,329770.0116008623
Cold_Storage,cold,543637.3473993418
cold,Cold_Storage,412943.1813645026
Seasonal_Heat_Storage,heat,190922.1505233138
heat,Seasonal_Heat_Storage,143096.54925066323
PV,elec,610779.95814598
PV,heat,0.0
buy_elec,elec,991183.0668194894
buy_gas,gas,2954062.0537983226
elec,elec_load,876000.0000000042
heat,heat_load,4114307.0645176205
cold,cold_load,645180.6231214599
