source,target,weight
elec,CERG,737776.4000581144
CERG,cold,737776.4000581144
heat,WARP,38098.389098185624
WARP,cold,38098.389098185624
cold,Cold_Storage,412943.1813645026
Cold_Storage,cold,412943.1813645026
cold,Cold_Storage,543637.3473993418
Cold_Storage,cold,543637.3473993418
buy_elec,elec,991183.0668194894
PV,elec,610779.95814598
gas,CHP,0.0
CHP,elec,0.0
elec,Electric_Boiler,390.26373770152526
Electric_Boiler,['heat'],390.26373770152526
elec,CERG,147555.2800116226
CERG,['cold'],147555.2800116226
elec,Heat_Pump,577162.3177228706
Heat_Pump,['heat'],577162.3177228706
elec,Elec_Storage,7545.854431061893
Elec_Storage,elec,7545.854431061893
elec,Elec_Storage,8401.01792433257
Elec_Storage,elec,8401.01792433257
