source,target,weight
gas,CHP,0.0
CHP,elec,0.0
gas,CHP,0.0
CHP,heat,0.0
elec,Electric_Boiler,351.2373639313694
Electric_Boiler,heat,351.2373639313694
elec,CERG,737776.4000581144
CERG,cold,737776.4000581144
heat,WARP,38098.389098185624
WARP,cold,38098.389098185624
gas,Gas_Boiler,2806358.9511083732
Gas_Boiler,heat,2806358.9511083732
elec,Heat_Pump,1500622.0260794444
Heat_Pump,heat,1500622.0260794444
elec,Elec_Storage,8401.01792433257
Elec_Storage,elec,7545.854431061893
heat,Heat_Storage,427346.57398965984
Heat_Storage,heat,329770.0116008623
cold,Cold_Storage,543637.3473993418
Cold_Storage,cold,412943.1813645026
heat,Seasonal_Heat_Storage,190922.1505233138
Seasonal_Heat_Storage,heat,143096.54925066323
PV,elec,610779.95814598
PV,heat,0.0
buy_elec,elec,991183.0668194894
buy_gas,gas,2954062.0537983226
elec,elec_load,876000.0000000042
heat,heat_load,4114307.0645176205
cold,cold_load,645180.6231214599
